"studentid","gender","528","530","533","592","593","594","595","596","1257","1258","1259","1420","1720","1980","2212","2213","2214","2229","2620","2621","2622","2623","2624","2625","2637","2638","2639","2640","2641","2941","2942","2943","2944","2945","2946","2947","2948","2949","2950","3140","3609"
1,"Female",0,1,1,0,0,0,0,1,1,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,6,0
2,"Female",1,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,4,1
3,"Female",1,0,1,0,0,0,1,0,1,1,0,0,1,9,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,3,1
4,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,4,1
5,"Male",0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,2,1
6,"Female",1,0,1,0,0,0,1,0,1,1,0,0,1,9,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,4,1
7,"Female",0,1,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,-9,0,3,1
8,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1
9,"Female",0,1,0,0,0,0,1,1,1,0,1,1,0,6,1,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-9,0,3,0
10,"Female",1,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,3,1
11,"Male",1,1,1,0,0,1,1,1,1,0,1,0,0,8,1,1,0,0,0,0,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,6,1
12,"Female",1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4,1
13,"Female",0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,3,0
14,"Male",0,1,1,0,0,0,0,0,0,1,0,0,1,4,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-9,0,2,1
15,"Female",1,1,1,0,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,6,1
16,"Female",0,1,0,0,0,0,0,0,-9,-9,-9,-9,-9,9,1,0,1,-9,-9,-9,0,0,2,0,0,-9,1,1,0,0,0,1,0,0,0,1,0,1,0,6,1
17,"Female",0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,0,1,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1
18,"Male",1,1,0,0,0,1,0,0,1,0,0,0,0,9,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,-9,0,4,0
19,"Female",1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0
20,"Male",1,1,0,0,0,1,0,0,1,0,1,0,1,7,1,1,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1
21,"Female",1,0,0,0,0,0,1,0,1,0,0,0,1,8,1,1,1,-9,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
22,"Female",0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,2,1
23,"Female",0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,4,1
24,"Female",1,1,1,0,0,0,1,1,1,1,1,1,0,7,1,0,0,0,1,0,1,1,2,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1
25,"Female",0,1,1,0,0,0,1,0,0,0,0,1,1,6,1,1,0,0,0,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1
26,"Female",0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,3,1
27,"Male",1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0
28,"Female",1,0,0,0,0,1,1,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1
29,"Female",0,1,0,0,0,1,1,0,1,0,0,1,0,6,1,0,1,0,0,0,2,0,2,0,0,0,0,1,0,-9,0,0,0,0,0,1,1,1,0,1,0
30,"Female",1,1,1,0,0,1,1,1,1,1,1,0,1,5,1,0,0,0,1,0,1,0,4,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,1
